"","V1","V2","V3","V4","V5"
"1453","Kryo",100,0,0,115
"1454","Kryo",1000,0,0,1015
"1455","Kryo",10000,0,0,10016
"1456","Kryo",20000,0,0,20016
"1457","Kryo",100000,0,0.001,100016
"1458","Kryo",200000,0,0.003,200016
"1459","Kryo",500000,0,0.007,500016
"1460","Kryo",1000000,0,0.015,1000016
"1461","Kryo",2000000,0,0.029,2000017
"1462","Kryo",3000000,0,0.043,3000017
"1463","Kryo",4000000,0,0.083,4000017
"1464","Kryo",5000000,0,0.072,5000017
"1465","MessagePack",100,0.002,0,1100
"1466","MessagePack",1000,0.002,0,11000
"1467","MessagePack",10000,0.003,0.001,110000
"1468","MessagePack",20000,0.004,0.001,220000
"1469","MessagePack",100000,0.01,0.005,1100000
"1470","MessagePack",200000,0.016,0.012,2200000
"1471","MessagePack",500000,0.039,0.03,5500000
"1472","MessagePack",1000000,0.078,0.062,11000000
"1473","MessagePack",2000000,0.172,0.154,22000000
"1474","MessagePack",3000000,0.254,0.191,33000000
"1475","MessagePack",4000000,0.325,0.301,44000000
"1476","MessagePack",5000000,0.41,0.312,55000000
"1477","Json",100,0.003,0,6701
"1478","Json",1000,0.002,0.001,67001
"1479","Json",10000,0.005,0.003,670001
"1480","Json",20000,0.007,0.007,1340001
"1481","Json",100000,0.02,0.034,6700001
"1482","Json",200000,0.043,0.068,13400001
"1483","Json",500000,0.091,0.162,33500001
"1484","Json",1000000,0.177,0.39,67000001
"1485","Json",2000000,0.374,0.761,134000001
"1486","Json",3000000,0.564,1.432,201000001
"1487","Json",4000000,0.81,2.2,268000001
"1488","Json",5000000,1.004,2.562,335000001
"1489","Avro",100,0.003,0,1248
"1490","Avro",1000,0.002,0,10249
"1491","Avro",10000,0.003,0.002,100270
"1492","Avro",20000,0.005,0.003,200311
"1493","Avro",100000,0.018,0.01,1000564
"1494","Avro",200000,0.034,0.021,2000900
"1495","Avro",500000,0.079,0.054,5001886
"1496","Avro",1000000,0.155,0.106,10003525
"1497","Avro",2000000,0.373,0.252,20006801
"1498","Avro",3000000,0.483,0.313,30010077
"1499","Avro",4000000,0.627,0.439,40013353
"1500","Avro",5000000,0.763,0.604,50016650
"1501","Kryo",100,0,0,115
"1502","Kryo",1000,0,0,1015
"1503","Kryo",10000,0,0,10016
"1504","Kryo",20000,0,0,20016
"1505","Kryo",100000,0,0.002,100016
"1506","Kryo",200000,0,0.003,200016
"1507","Kryo",500000,0,0.008,500016
"1508","Kryo",1000000,0,0.015,1000016
"1509","Kryo",2000000,0,0.029,2000017
"1510","Kryo",3000000,0,0.045,3000017
"1511","Kryo",4000000,0,0.061,4000017
"1512","Kryo",5000000,0,0.086,5000017
"1513","MessagePack",100,0.002,0.001,1100
"1514","MessagePack",1000,0.003,0,11000
"1515","MessagePack",10000,0.004,0.001,110000
"1516","MessagePack",20000,0.005,0.001,220000
"1517","MessagePack",100000,0.01,0.009,1100000
"1518","MessagePack",200000,0.018,0.012,2200000
"1519","MessagePack",500000,0.041,0.03,5500000
"1520","MessagePack",1000000,0.078,0.062,11000000
"1521","MessagePack",2000000,0.225,0.151,22000000
"1522","MessagePack",3000000,0.243,0.188,33000000
"1523","MessagePack",4000000,0.348,0.243,44000000
"1524","MessagePack",5000000,0.431,0.336,55000000
"1525","Json",100,0.003,0,6701
"1526","Json",1000,0.003,0,67001
"1527","Json",10000,0.006,0.004,670001
"1528","Json",20000,0.007,0.008,1340001
"1529","Json",100000,0.02,0.033,6700001
"1530","Json",200000,0.036,0.064,13400001
"1531","Json",500000,0.087,0.162,33500001
"1532","Json",1000000,0.176,0.391,67000001
"1533","Json",2000000,0.356,0.818,134000001
"1534","Json",3000000,0.597,1.383,201000001
"1535","Json",4000000,0.834,2.294,268000001
"1536","Json",5000000,1.024,2.571,335000001
"1537","Avro",100,0.002,0,1248
"1538","Avro",1000,0.002,0,10249
"1539","Avro",10000,0.003,0.001,100270
"1540","Avro",20000,0.006,0.002,200311
"1541","Avro",100000,0.018,0.01,1000564
"1542","Avro",200000,0.034,0.021,2000900
"1543","Avro",500000,0.08,0.072,5001886
"1544","Avro",1000000,0.151,0.105,10003525
"1545","Avro",2000000,0.323,0.233,20006801
"1546","Avro",3000000,0.495,0.315,30010077
"1547","Avro",4000000,0.622,0.435,40013353
"1548","Avro",5000000,0.91,0.592,50016650
"1549","Kryo",100,0,0,115
"1550","Kryo",1000,0,0,1015
"1551","Kryo",10000,0,0,10016
"1552","Kryo",20000,0,0.001,20016
"1553","Kryo",100000,0,0.002,100016
"1554","Kryo",200000,0,0.003,200016
"1555","Kryo",500000,0,0.007,500016
"1556","Kryo",1000000,0,0.015,1000016
"1557","Kryo",2000000,0,0.029,2000017
"1558","Kryo",3000000,0,0.044,3000017
"1559","Kryo",4000000,0,0.057,4000017
"1560","Kryo",5000000,0,0.075,5000017
"1561","MessagePack",100,0.002,0,1100
"1562","MessagePack",1000,0.002,0,11000
"1563","MessagePack",10000,0.002,0.001,110000
"1564","MessagePack",20000,0.003,0.001,220000
"1565","MessagePack",100000,0.009,0.006,1100000
"1566","MessagePack",200000,0.017,0.011,2200000
"1567","MessagePack",500000,0.04,0.029,5500000
"1568","MessagePack",1000000,0.082,0.069,11000000
"1569","MessagePack",2000000,0.169,0.171,22000000
"1570","MessagePack",3000000,0.236,0.215,33000000
"1571","MessagePack",4000000,0.352,0.251,44000000
"1572","MessagePack",5000000,0.401,0.36,55000000
"1573","Json",100,0.003,0,6701
"1574","Json",1000,0.003,0,67001
"1575","Json",10000,0.005,0.003,670001
"1576","Json",20000,0.007,0.006,1340001
"1577","Json",100000,0.02,0.035,6700001
"1578","Json",200000,0.04,0.065,13400001
"1579","Json",500000,0.091,0.162,33500001
"1580","Json",1000000,0.174,0.39,67000001
"1581","Json",2000000,0.352,0.78,134000001
"1582","Json",3000000,0.712,1.471,201000001
"1583","Json",4000000,0.796,2.301,268000001
"1584","Json",5000000,1.052,2.722,335000001
"1585","Avro",100,0.002,0.001,1248
"1586","Avro",1000,0.002,0.001,10249
"1587","Avro",10000,0.003,0.001,100270
"1588","Avro",20000,0.005,0.002,200311
"1589","Avro",100000,0.017,0.011,1000564
"1590","Avro",200000,0.033,0.021,2000900
"1591","Avro",500000,0.079,0.057,5001886
"1592","Avro",1000000,0.165,0.123,10003525
"1593","Avro",2000000,0.299,0.211,20006801
"1594","Avro",3000000,0.49,0.351,30010077
"1595","Avro",4000000,0.626,0.437,40013353
"1596","Avro",5000000,0.835,0.563,50016650
"1597","Kryo",100,0,0,115
"1598","Kryo",1000,0,0,1015
"1599","Kryo",10000,0,0,10016
"1600","Kryo",20000,0,0,20016
"1601","Kryo",100000,0,0.002,100016
"1602","Kryo",200000,0,0.002,200016
"1603","Kryo",500000,0,0.008,500016
"1604","Kryo",1000000,0,0.015,1000016
"1605","Kryo",2000000,0,0.029,2000017
"1606","Kryo",3000000,0,0.055,3000017
"1607","Kryo",4000000,0,0.06,4000017
"1608","Kryo",5000000,0,0.073,5000017
"1609","MessagePack",100,0.002,0,1100
"1610","MessagePack",1000,0.002,0,11000
"1611","MessagePack",10000,0.003,0.001,110000
"1612","MessagePack",20000,0.004,0.002,220000
"1613","MessagePack",100000,0.009,0.007,1100000
"1614","MessagePack",200000,0.018,0.012,2200000
"1615","MessagePack",500000,0.039,0.029,5500000
"1616","MessagePack",1000000,0.078,0.071,11000000
"1617","MessagePack",2000000,0.175,0.138,22000000
"1618","MessagePack",3000000,0.252,0.212,33000000
"1619","MessagePack",4000000,0.341,0.285,44000000
"1620","MessagePack",5000000,0.432,0.324,55000000
"1621","Json",100,0.002,0,6701
"1622","Json",1000,0.003,0.001,67001
"1623","Json",10000,0.004,0.004,670001
"1624","Json",20000,0.006,0.007,1340001
"1625","Json",100000,0.02,0.032,6700001
"1626","Json",200000,0.037,0.067,13400001
"1627","Json",500000,0.088,0.165,33500001
"1628","Json",1000000,0.175,0.388,67000001
"1629","Json",2000000,0.345,0.774,134000001
"1630","Json",3000000,0.573,1.506,201000001
"1631","Json",4000000,0.846,2.376,268000001
"1632","Json",5000000,0.983,2.515,335000001
"1633","Avro",100,0.002,0,1248
"1634","Avro",1000,0.003,0,10249
"1635","Avro",10000,0.003,0.001,100270
"1636","Avro",20000,0.005,0.002,200311
"1637","Avro",100000,0.017,0.011,1000564
"1638","Avro",200000,0.035,0.04,2000900
"1639","Avro",500000,0.08,0.054,5001886
"1640","Avro",1000000,0.175,0.112,10003525
"1641","Avro",2000000,0.379,0.215,20006801
"1642","Avro",3000000,0.537,0.351,30010077
"1643","Avro",4000000,0.713,0.46,40013353
"1644","Avro",5000000,0.928,0.561,50016650
"1645","Kryo",100,0,0,115
"1646","Kryo",1000,0,0,1015
"1647","Kryo",10000,0,0,10016
"1648","Kryo",20000,0,0.001,20016
"1649","Kryo",100000,0,0.001,100016
"1650","Kryo",200000,0,0.003,200016
"1651","Kryo",500000,0,0.007,500016
"1652","Kryo",1000000,0,0.014,1000016
"1653","Kryo",2000000,0,0.029,2000017
"1654","Kryo",3000000,0,0.043,3000017
"1655","Kryo",4000000,0,0.06,4000017
"1656","Kryo",5000000,0,0.072,5000017
"1657","MessagePack",100,0.002,0,1100
"1658","MessagePack",1000,0.003,0,11000
"1659","MessagePack",10000,0.003,0.001,110000
"1660","MessagePack",20000,0.004,0.001,220000
"1661","MessagePack",100000,0.01,0.006,1100000
"1662","MessagePack",200000,0.017,0.011,2200000
"1663","MessagePack",500000,0.04,0.031,5500000
"1664","MessagePack",1000000,0.077,0.059,11000000
"1665","MessagePack",2000000,0.166,0.12,22000000
"1666","MessagePack",3000000,0.278,0.221,33000000
"1667","MessagePack",4000000,0.354,0.25,44000000
"1668","MessagePack",5000000,0.421,0.316,55000000
"1669","Json",100,0.003,0,6701
"1670","Json",1000,0.003,0,67001
"1671","Json",10000,0.005,0.003,670001
"1672","Json",20000,0.006,0.007,1340001
"1673","Json",100000,0.021,0.051,6700001
"1674","Json",200000,0.037,0.066,13400001
"1675","Json",500000,0.094,0.165,33500001
"1676","Json",1000000,0.171,0.385,67000001
"1677","Json",2000000,0.344,0.8,134000001
"1678","Json",3000000,0.594,1.526,201000001
"1679","Json",4000000,0.895,2.264,268000001
"1680","Json",5000000,1.006,2.593,335000001
"1681","Avro",100,0.002,0,1248
"1682","Avro",1000,0.002,0,10249
"1683","Avro",10000,0.003,0.002,100270
"1684","Avro",20000,0.005,0.002,200311
"1685","Avro",100000,0.017,0.011,1000564
"1686","Avro",200000,0.033,0.022,2000900
"1687","Avro",500000,0.078,0.053,5001886
"1688","Avro",1000000,0.162,0.115,10003525
"1689","Avro",2000000,0.312,0.213,20006801
"1690","Avro",3000000,0.481,0.356,30010077
"1691","Avro",4000000,0.818,0.441,40013353
"1692","Avro",5000000,0.905,0.606,50016650
"1693","Kryo",100,0,0,115
"1694","Kryo",1000,0,0,1015
"1695","Kryo",10000,0,0,10016
"1696","Kryo",20000,0,0,20016
"1697","Kryo",100000,0,0.002,100016
"1698","Kryo",200000,0,0.003,200016
"1699","Kryo",500000,0,0.008,500016
"1700","Kryo",1000000,0,0.014,1000016
"1701","Kryo",2000000,0,0.029,2000017
"1702","Kryo",3000000,0,0.043,3000017
"1703","Kryo",4000000,0,0.062,4000017
"1704","Kryo",5000000,0,0.088,5000017
"1705","MessagePack",100,0.002,0,1100
"1706","MessagePack",1000,0.002,0,11000
"1707","MessagePack",10000,0.003,0,110000
"1708","MessagePack",20000,0.003,0.002,220000
"1709","MessagePack",100000,0.01,0.006,1100000
"1710","MessagePack",200000,0.018,0.012,2200000
"1711","MessagePack",500000,0.04,0.031,5500000
"1712","MessagePack",1000000,0.078,0.058,11000000
"1713","MessagePack",2000000,0.17,0.171,22000000
"1714","MessagePack",3000000,0.261,0.178,33000000
"1715","MessagePack",4000000,0.397,0.336,44000000
"1716","MessagePack",5000000,0.393,0.391,55000000
"1717","Json",100,0.003,0,6701
"1718","Json",1000,0.003,0,67001
"1719","Json",10000,0.004,0.004,670001
"1720","Json",20000,0.007,0.006,1340001
"1721","Json",100000,0.02,0.033,6700001
"1722","Json",200000,0.038,0.084,13400001
"1723","Json",500000,0.102,0.199,33500001
"1724","Json",1000000,0.184,0.42,67000001
"1725","Json",2000000,0.362,0.808,134000001
"1726","Json",3000000,0.629,1.556,201000001
"1727","Json",4000000,0.853,2.305,268000001
"1728","Json",5000000,0.967,2.628,335000001
"1729","Avro",100,0.002,0,1248
"1730","Avro",1000,0.002,0,10249
"1731","Avro",10000,0.003,0.001,100270
"1732","Avro",20000,0.005,0.002,200311
"1733","Avro",100000,0.024,0.01,1000564
"1734","Avro",200000,0.033,0.021,2000900
"1735","Avro",500000,0.098,0.054,5001886
"1736","Avro",1000000,0.151,0.104,10003525
"1737","Avro",2000000,0.3,0.222,20006801
"1738","Avro",3000000,0.523,0.309,30010077
"1739","Avro",4000000,0.615,0.434,40013353
"1740","Avro",5000000,0.744,0.568,50016650
"1741","Kryo",100,0,0,115
"1742","Kryo",1000,0,0.001,1015
"1743","Kryo",10000,0,0.001,10016
"1744","Kryo",20000,0,0.001,20016
"1745","Kryo",100000,0,0.001,100016
"1746","Kryo",200000,0,0.003,200016
"1747","Kryo",500000,0,0.008,500016
"1748","Kryo",1000000,0,0.014,1000016
"1749","Kryo",2000000,0,0.029,2000017
"1750","Kryo",3000000,0,0.044,3000017
"1751","Kryo",4000000,0,0.079,4000017
"1752","Kryo",5000000,0,0.074,5000017
"1753","MessagePack",100,0.003,0,1100
"1754","MessagePack",1000,0.002,0,11000
"1755","MessagePack",10000,0.003,0.001,110000
"1756","MessagePack",20000,0.004,0.001,220000
"1757","MessagePack",100000,0.009,0.006,1100000
"1758","MessagePack",200000,0.017,0.011,2200000
"1759","MessagePack",500000,0.04,0.029,5500000
"1760","MessagePack",1000000,0.079,0.059,11000000
"1761","MessagePack",2000000,0.183,0.145,22000000
"1762","MessagePack",3000000,0.249,0.206,33000000
"1763","MessagePack",4000000,0.315,0.245,44000000
"1764","MessagePack",5000000,0.419,0.32,55000000
"1765","Json",100,0.002,0.001,6701
"1766","Json",1000,0.003,0,67001
"1767","Json",10000,0.005,0.003,670001
"1768","Json",20000,0.006,0.007,1340001
"1769","Json",100000,0.02,0.034,6700001
"1770","Json",200000,0.048,0.078,13400001
"1771","Json",500000,0.095,0.165,33500001
"1772","Json",1000000,0.177,0.399,67000001
"1773","Json",2000000,0.366,0.756,134000001
"1774","Json",3000000,0.591,1.467,201000001
"1775","Json",4000000,0.787,2.359,268000001
"1776","Json",5000000,1.018,2.554,335000001
"1777","Avro",100,0.002,0,1248
"1778","Avro",1000,0.002,0,10249
"1779","Avro",10000,0.003,0.001,100270
"1780","Avro",20000,0.005,0.002,200311
"1781","Avro",100000,0.02,0.01,1000564
"1782","Avro",200000,0.033,0.022,2000900
"1783","Avro",500000,0.081,0.052,5001886
"1784","Avro",1000000,0.153,0.104,10003525
"1785","Avro",2000000,0.322,0.231,20006801
"1786","Avro",3000000,0.528,0.36,30010077
"1787","Avro",4000000,0.611,0.438,40013353
"1788","Avro",5000000,0.897,0.656,50016650
"1789","Kryo",100,0,0,115
"1790","Kryo",1000,0,0,1015
"1791","Kryo",10000,0,0.001,10016
"1792","Kryo",20000,0,0.001,20016
"1793","Kryo",100000,0,0.002,100016
"1794","Kryo",200000,0,0.003,200016
"1795","Kryo",500000,0,0.008,500016
"1796","Kryo",1000000,0,0.014,1000016
"1797","Kryo",2000000,0,0.048,2000017
"1798","Kryo",3000000,0,0.044,3000017
"1799","Kryo",4000000,0,0.057,4000017
"1800","Kryo",5000000,0,0.072,5000017
"1801","MessagePack",100,0.002,0,1100
"1802","MessagePack",1000,0.002,0,11000
"1803","MessagePack",10000,0.003,0,110000
"1804","MessagePack",20000,0.003,0.001,220000
"1805","MessagePack",100000,0.01,0.006,1100000
"1806","MessagePack",200000,0.017,0.012,2200000
"1807","MessagePack",500000,0.039,0.03,5500000
"1808","MessagePack",1000000,0.081,0.06,11000000
"1809","MessagePack",2000000,0.151,0.116,22000000
"1810","MessagePack",3000000,0.252,0.195,33000000
"1811","MessagePack",4000000,0.341,0.24,44000000
"1812","MessagePack",5000000,0.381,0.301,55000000
"1813","Json",100,0.002,0,6701
"1814","Json",1000,0.003,0,67001
"1815","Json",10000,0.004,0.004,670001
"1816","Json",20000,0.006,0.007,1340001
"1817","Json",100000,0.019,0.032,6700001
"1818","Json",200000,0.036,0.064,13400001
"1819","Json",500000,0.088,0.162,33500001
"1820","Json",1000000,0.175,0.399,67000001
"1821","Json",2000000,0.385,0.793,134000001
"1822","Json",3000000,0.709,1.492,201000001
"1823","Json",4000000,0.804,2.313,268000001
"1824","Json",5000000,1.083,2.65,335000001
"1825","Avro",100,0.004,0.001,1248
"1826","Avro",1000,0.002,0,10249
"1827","Avro",10000,0.004,0.001,100270
"1828","Avro",20000,0.005,0.002,200311
"1829","Avro",100000,0.017,0.011,1000564
"1830","Avro",200000,0.032,0.022,2000900
"1831","Avro",500000,0.078,0.052,5001886
"1832","Avro",1000000,0.161,0.113,10003525
"1833","Avro",2000000,0.315,0.208,20006801
"1834","Avro",3000000,0.563,0.338,30010077
"1835","Avro",4000000,0.63,0.436,40013353
"1836","Avro",5000000,0.838,0.655,50016650
"1837","Kryo",100,0,0,115
"1838","Kryo",1000,0,0,1015
"1839","Kryo",10000,0,0,10016
"1840","Kryo",20000,0,0.001,20016
"1841","Kryo",100000,0,0.002,100016
"1842","Kryo",200000,0,0.003,200016
"1843","Kryo",500000,0,0.008,500016
"1844","Kryo",1000000,0,0.015,1000016
"1845","Kryo",2000000,0,0.029,2000017
"1846","Kryo",3000000,0,0.045,3000017
"1847","Kryo",4000000,0,0.06,4000017
"1848","Kryo",5000000,0,0.072,5000017
"1849","MessagePack",100,0.002,0,1100
"1850","MessagePack",1000,0.003,0,11000
"1851","MessagePack",10000,0.003,0,110000
"1852","MessagePack",20000,0.003,0.001,220000
"1853","MessagePack",100000,0.01,0.006,1100000
"1854","MessagePack",200000,0.017,0.012,2200000
"1855","MessagePack",500000,0.04,0.029,5500000
"1856","MessagePack",1000000,0.078,0.061,11000000
"1857","MessagePack",2000000,0.154,0.115,22000000
"1858","MessagePack",3000000,0.258,0.177,33000000
"1859","MessagePack",4000000,0.303,0.272,44000000
"1860","MessagePack",5000000,0.392,0.325,55000000
"1861","Json",100,0.003,0,6701
"1862","Json",1000,0.003,0,67001
"1863","Json",10000,0.004,0.004,670001
"1864","Json",20000,0.006,0.007,1340001
"1865","Json",100000,0.02,0.032,6700001
"1866","Json",200000,0.036,0.065,13400001
"1867","Json",500000,0.099,0.178,33500001
"1868","Json",1000000,0.172,0.385,67000001
"1869","Json",2000000,0.357,0.796,134000001
"1870","Json",3000000,0.648,1.499,201000001
"1871","Json",4000000,0.796,2.246,268000001
"1872","Json",5000000,0.966,2.614,335000001
"1873","Avro",100,0.002,0,1248
"1874","Avro",1000,0.002,0,10249
"1875","Avro",10000,0.003,0.001,100270
"1876","Avro",20000,0.004,0.003,200311
"1877","Avro",100000,0.017,0.011,1000564
"1878","Avro",200000,0.033,0.021,2000900
"1879","Avro",500000,0.079,0.053,5001886
"1880","Avro",1000000,0.178,0.104,10003525
"1881","Avro",2000000,0.304,0.222,20006801
"1882","Avro",3000000,0.472,0.309,30010077
"1883","Avro",4000000,0.687,0.452,40013353
"1884","Avro",5000000,0.757,0.631,50016650
"1885","Kryo",100,0,0,115
"1886","Kryo",1000,0,0,1015
"1887","Kryo",10000,0,0,10016
"1888","Kryo",20000,0,0,20016
"1889","Kryo",100000,0,0.002,100016
"1890","Kryo",200000,0,0.003,200016
"1891","Kryo",500000,0,0.008,500016
"1892","Kryo",1000000,0,0.014,1000016
"1893","Kryo",2000000,0,0.038,2000017
"1894","Kryo",3000000,0,0.043,3000017
"1895","Kryo",4000000,0,0.061,4000017
"1896","Kryo",5000000,0,0.075,5000017
"1897","MessagePack",100,0.002,0,1100
"1898","MessagePack",1000,0.003,0,11000
"1899","MessagePack",10000,0.003,0,110000
"1900","MessagePack",20000,0.004,0.001,220000
"1901","MessagePack",100000,0.01,0.006,1100000
"1902","MessagePack",200000,0.017,0.012,2200000
"1903","MessagePack",500000,0.039,0.03,5500000
"1904","MessagePack",1000000,0.079,0.058,11000000
"1905","MessagePack",2000000,0.163,0.117,22000000
"1906","MessagePack",3000000,0.276,0.226,33000000
"1907","MessagePack",4000000,0.347,0.251,44000000
"1908","MessagePack",5000000,0.374,0.339,55000000
"1909","Json",100,0.003,0,6701
"1910","Json",1000,0.003,0,67001
"1911","Json",10000,0.004,0.004,670001
"1912","Json",20000,0.006,0.007,1340001
"1913","Json",100000,0.019,0.033,6700001
"1914","Json",200000,0.038,0.066,13400001
"1915","Json",500000,0.086,0.161,33500001
"1916","Json",1000000,0.175,0.397,67000001
"1917","Json",2000000,0.355,0.809,134000001
"1918","Json",3000000,0.653,1.536,201000001
"1919","Json",4000000,0.853,2.369,268000001
"1920","Json",5000000,1.066,2.632,335000001
