"","V1","V2","V3","V4","V5"
"998","Json",1000,0.003,0,67001
"999","Json",10000,0.005,0.004,670001
"1000","Json",20000,0.006,0.007,1340001
"1001","Json",100000,0.02,0.032,6700001
"1002","Json",200000,0.036,0.066,13400001
"1003","Json",500000,0.089,0.182,33500001
"1004","Json",1000000,0.172,0.394,67000001
"1005","Json",2000000,0.372,0.784,134000001
"1006","Json",3000000,0.593,1.41,201000001
"1007","Json",4000000,0.836,2.342,268000001
"1008","Json",5000000,0.956,2.623,335000001
"1009","Avro",100,0.001,0.001,1248
"1010","Avro",1000,0.002,0,10249
"1011","Avro",10000,0.003,0.002,100270
"1012","Avro",20000,0.005,0.003,200311
"1013","Avro",100000,0.017,0.01,1000564
"1014","Avro",200000,0.033,0.021,2000900
"1015","Avro",500000,0.078,0.054,5001886
"1016","Avro",1000000,0.149,0.108,10003525
"1017","Avro",2000000,0.346,0.239,20006801
"1018","Avro",3000000,0.534,0.369,30010077
"1019","Avro",4000000,0.623,0.497,40013353
"1020","Avro",5000000,0.879,0.589,50016650
"1021","Kryo",100,0,0,115
"1022","Kryo",1000,0,0,1015
"1023","Kryo",10000,0,0,10016
"1024","Kryo",20000,0,0,20016
"1025","Kryo",100000,0,0.002,100016
"1026","Kryo",200000,0,0.003,200016
"1027","Kryo",500000,0,0.007,500016
"1028","Kryo",1000000,0,0.014,1000016
"1029","Kryo",2000000,0,0.029,2000017
"1030","Kryo",3000000,0,0.044,3000017
"1031","Kryo",4000000,0,0.058,4000017
"1032","Kryo",5000000,0,0.091,5000017
"1033","MessagePack",100,0.002,0,1100
"1034","MessagePack",1000,0.002,0,11000
"1035","MessagePack",10000,0.003,0.001,110000
"1036","MessagePack",20000,0.004,0.001,220000
"1037","MessagePack",100000,0.01,0.006,1100000
"1038","MessagePack",200000,0.017,0.011,2200000
"1039","MessagePack",500000,0.043,0.03,5500000
"1040","MessagePack",1000000,0.093,0.059,11000000
"1041","MessagePack",2000000,0.17,0.117,22000000
"1042","MessagePack",3000000,0.242,0.184,33000000
"1043","MessagePack",4000000,0.303,0.307,44000000
"1044","MessagePack",5000000,0.417,0.351,55000000
"1045","Json",100,0.003,0,6701
"1046","Json",1000,0.003,0.001,67001
"1047","Json",10000,0.005,0.003,670001
"1048","Json",20000,0.006,0.007,1340001
"1049","Json",100000,0.02,0.04,6700001
"1050","Json",200000,0.037,0.066,13400001
"1051","Json",500000,0.09,0.162,33500001
"1052","Json",1000000,0.171,0.387,67000001
"1053","Json",2000000,0.389,0.836,134000001
"1054","Json",3000000,0.606,1.473,201000001
"1055","Json",4000000,0.76,2.259,268000001
"1056","Json",5000000,1.006,2.69,335000001
"1057","Avro",100,0.002,0.001,1248
"1058","Avro",1000,0.002,0.001,10249
"1059","Avro",10000,0.003,0.002,100270
"1060","Avro",20000,0.004,0.003,200311
"1061","Avro",100000,0.017,0.011,1000564
"1062","Avro",200000,0.033,0.022,2000900
"1063","Avro",500000,0.08,0.054,5001886
"1064","Avro",1000000,0.15,0.111,10003525
"1065","Avro",2000000,0.299,0.237,20006801
"1066","Avro",3000000,0.478,0.328,30010077
"1067","Avro",4000000,0.66,0.46,40013353
